Age,Monthly_Income,Customer_Type,Nationality_Cluster,Loyalty_Status,Dining_Frequency,Avg_Spend_AED,Order_Time,Day_Preference,Order_Channel,Group_Size,Distance_Category,Cuisine_Preference,Restaurant_Tier,Restaurant_Location,Price_Sensitivity,Offpeak_Willingness,Fairness_Perception,Discount_Importance,Discount_Motivation,Weather_Behaviour,Peak_Months,Experience_Rating,Challenges,Desired_Features,Demand_Level,Surge_Multiplier,Table_Occupancy_Pct,Base_Order_Value,Final_Order_Value,Discount_Percentage,Delivery_Distance_km,Est_Delivery_Time_min,Customer_Rating,App_Adoption
25-34,10001-20000,Tourist,Western Expat,Explorer,2-3/month,169.29,Dinner,Weekdays,Delivery App,5+,<3km,Western,Mid-range,Deira,Very sensitive,Maybe,Somewhat fair,Moderately important,20%,No impact,"Jul-Sep, Oct-Dec, Jan-Mar",3,"Crowded restaurants, High weekend prices","Real-time pricing, Demand alerts, Personalised discounts, Low-demand discounts",Medium,1.01,,169.29,170.98,0.0,2.0,16.0,3,Yes
45-54,>35000,Family,Arab,Explorer,Once/week,640.21,Dinner,Weekends,Dine-in,5+,7-15km,Arabic,Premium/Fine Dining,Downtown,Moderately sensitive,Probably not,Unfair,Extremely important,>20%,Outdoor dining in pleasant weather,"Jan-Mar, Oct-Dec",4,"Long delivery time, Hard to find tables, High delivery fees, Crowded restaurants",Loyalty rewards,High,1.28,77.3,640.21,819.47,0.0,,,4,Yes
18-24,10001-20000,Professional,Arab,Loyal to 1-2,Once/week,281.56,Lunch,Weekends,Delivery App,5+,7-15km,Indian/Pakistani,Premium/Fine Dining,Downtown,Moderately sensitive,Definitely not,Somewhat fair,Extremely important,15%,Dine-in more during heat,"Apr-Jun, Oct-Dec, Jul-Sep",4,Unpredictable pricing,"Group dining deals, Real-time pricing, Demand alerts, Wait time estimate",Medium,1.16,,281.56,326.61,0.0,10.3,37.0,4,Yes
45-54,20001-35000,Professional,South Asian,Few regulars,Multiple/week,119.41,Dinner,Weekdays,Takeaway,2 people,3-7km,Arabic,Mid-range,Downtown,Not sensitive,Maybe,Somewhat fair,Not important,15%,Switch to delivery in heat,Oct-Dec,4,"Long wait times, Long delivery time, Unpredictable pricing, High delivery fees","Low-demand discounts, Demand alerts, Personalised discounts",Medium,1.05,,119.41,125.38,0.0,4.9,28.0,4,No
25-34,20001-35000,Professional,South Asian,Loyal to 1-2,Once/month,181.21,Breakfast,Both,Delivery App,3-4 people,<3km,Healthy/Vegan,Depends on occasion,DIFC,Not sensitive,Maybe,Very unfair,Not important,20%,Switch to delivery in heat,Oct-Dec,3,"Long wait times, Crowded restaurants, Unpredictable pricing, Limited discounts","Personalised discounts, Real-time pricing, Low-demand discounts",Medium,1.0,,181.21,181.21,0.0,1.3,26.0,3,Yes
25-34,10001-20000,Family,Western Expat,Few regulars,Once/week,226.94,Dinner,Both,Delivery App,2 people,<3km,Western,Premium/Fine Dining,JBR,Slightly sensitive,Maybe,Somewhat fair,Not important,10%,Switch to delivery in heat,"Jan-Mar, Apr-Jun",5,High delivery fees,"Real-time pricing, Group dining deals, Personalised discounts, Wait time estimate",High,1.35,,226.94,306.37,0.0,2.5,26.0,5,No
35-44,10001-20000,Family,South Asian,Loyalty program user,2-3/month,156.9,Lunch,Weekends,Dine-in,5+,3-7km,Indian/Pakistani,Depends on occasion,Marina,Moderately sensitive,Definitely yes,Unfair,Moderately important,15%,Dine-in more during heat,Oct-Dec,3,"Long delivery time, High delivery fees, Unpredictable pricing, Crowded restaurants","Group dining deals, Loyalty rewards, Low-demand discounts, Wait time estimate",Medium,0.94,53.6,156.9,147.49,6.0,,,3,No
45-54,>35000,Family,South Asian,Few regulars,Once/week,390.03,Lunch,Weekdays,Dine-in,2 people,<3km,Indian/Pakistani,Premium/Fine Dining,Mall,Not sensitive,Definitely not,Unfair,Slightly important,20%,Switch to delivery in heat,Apr-Jun,5,"Long delivery time, Unpredictable pricing","Loyalty rewards, Group dining deals, Wait time estimate, Personalised discounts",Low,0.94,34.8,390.03,366.63,6.0,,,5,No
55+,>35000,Tourist,Western Expat,Explorer,Once/week,505.45,Breakfast,Weekends,Dine-in,3-4 people,<3km,Indian/Pakistani,Premium/Fine Dining,DIFC,Slightly sensitive,Definitely not,Very fair,Not important,10%,Switch to delivery in heat,"Jan-Mar, Apr-Jun",5,Crowded restaurants,"Table availability, Group dining deals",Medium,1.1,42.6,505.45,556.0,0.0,,,5,No
18-24,10001-20000,Student,South Asian,Loyal to 1-2,Once/week,95.92,Dinner,Weekends,Takeaway,Alone,7-15km,Arabic,Depends on occasion,Mall,Very sensitive,Definitely yes,Neutral,Very important,20%,No impact,"Oct-Dec, Jan-Mar, Apr-Jun",5,High weekend prices,"Table availability, Personalised discounts",High,1.16,,95.92,111.27,0.0,14.6,61.0,5,Yes
